EN,type1,type2,type3,type4,type5,type6,type7,type8,type9,type10,sameas1,sameas2,sameas3,sameas4,sameas5
Local Storage,,,,,Cloud Computing,,,,,,nan,nan,nan,nan,nan
Location Technologies,,,,,,Cyber Physical System,Internet of Service,Internet of Things,,,nan,nan,nan,nan,nan
Low-Power Radio Network,,,,,,,,,,Other,nan,nan,nan,nan,nan
Long Term Evolution,,,,,,,,Internet of Things,,,LTE,nan,nan,nan,nan
Machine Learning Algorithm,Additive Manufacturing,Augmented Reality,Autonomous Robots,Big Data,Cloud Computing,Cyber Physical System,Internet of Service,Internet of Things,Simulation,,nan,nan,nan,nan,nan
Body Area Network,,,,,,,,,,Other,BAN,WBAN,Wireless Body Area Network,Body Sensor Network,nan
Observer,,,,,,,,,,,nan,nan,nan,nan,nan
Open API,,Augmented Reality,Autonomous Robots,,Cloud Computing,Cyber Physical System,Internet of Service,Internet of Things,,,nan,nan,nan,nan,nan
Open Source,Additive Manufacturing,Augmented Reality,Autonomous Robots,Big Data,Cloud Computing,Cyber Physical System,Internet of Service,Internet of Things,Simulation,,nan,nan,nan,nan,nan
Persavise Computing,,,Autonomous Robots,,,Cyber Physical System,,Internet of Things,,,Ubiquitous Computing,nan,nan,nan,nan
Pervasive Sensing,,,Autonomous Robots,,,Cyber Physical System,,Internet of Things,,,nan,nan,nan,nan,nan
Platform as a Service,,,,,,,Internet of Service,Internet of Things,,,PAAS,nan,nan,nan,nan
Power over Ethernet,,,,,,,,,,Other,PoE,nan,nan,nan,nan
Representational State Transfer,,,,,,,,,,Other,REST,nan,nan,nan,nan
HyperText Transfer Protocol,,,,,,,,,,Other,HTTP,nan,nan,nan,nan
Single Sign-On,,,,,Cloud Computing,,,,,,nan,nan,nan,nan,nan
Tag,,,,Big Data,,,,,,,nan,nan,nan,nan,nan
Unconstrained Network,,,,,,,,,,Other,nan,nan,nan,nan,nan
Virtual Entity,,,,Big Data,Cloud Computing,,,,,,nan,nan,nan,nan,nan
Wearable Technology,,,,,,,,Internet of Things,,,Wearable Tech,nan,nan,nan,nan
Wireless Communication Technology,,,,,,Cyber Physical System,,Internet of Things,,,nan,nan,nan,nan,nan
Wireless Sensors and Actuators Network,,,Autonomous Robots,,,Cyber Physical System,,Internet of Things,,,WSAN,nan,nan,nan,nan
6LoWPAN header compression,,,,,,,,,,Other,nan,nan,nan,nan,nan
Active Digital Entity,,,,,,,,,,Other,nan,nan,nan,nan,nan
Ambient Assisted Living,,,,,,,,Internet of Things,,,AAL,nan,nan,nan,nan
Alljoyn,,,,,,,,,,Other,nan,nan,nan,nan,nan
Ambient Intelligence,,,Autonomous Robots,,,,,Internet of Things,,,nan,nan,nan,nan,nan
Application Software,Additive Manufacturing,Augmented Reality,Autonomous Robots,Big Data,Cloud Computing,Cyber Physical System,Internet of Service,Internet of Things,Simulation,,nan,nan,nan,nan,nan
Architecture Vision,,Augmented Reality,Autonomous Robots,,,Cyber Physical System,,,Simulation,,nan,nan,nan,nan,nan
Arduino,,,Autonomous Robots,,,,,,,,nan,nan,nan,nan,nan
Augmented Entity,,Augmented Reality,,,,,,,,,Digital Twin,nan,nan,nan,nan
AutoID and Mobility Technology,,,,Big Data,,Cyber Physical System,,,,,nan,nan,nan,nan,nan
Base Transceiver Station,,,,,,Cyber Physical System,,Internet of Things,,,BTS,nan,nan,nan,nan
Cloud Orchestration,,,,,Cloud Computing,,,,,,nan,nan,nan,nan,nan
Cooperating Objects,,,,,,Cyber Physical System,,,,,nan,nan,nan,nan,nan
Digital Data Storage,,,,,Cloud Computing,,,,,,DDS,nan,nan,nan,nan
Domotics,,,Autonomous Robots,,,,,Internet of Things,,,nan,nan,nan,nan,nan
Digital Signal Processing,,,Autonomous Robots,,,,,,,,DSP,nan,nan,nan,nan
European Article Number,Additive Manufacturing,,,,,Cyber Physical System,,,,,EAN,nan,nan,nan,nan
Enhanced Data Rates for GSM Evolution,,,,,,,,,,Other,nan,nan,nan,nan,nan
E-Health,,,,,,,,,,Other,nan,nan,nan,nan,nan
External Machine Interface,,,Autonomous Robots,,,Cyber Physical System,,,,,nan,nan,nan,nan,nan
Universal Computer Protocol,,,,,,,,,,,UCP,nan,nan,nan,nan
Electronic Product Code Information Services,,,,,,,,,,Other,EPCIS,nan,nan,nan,nan
Electrostatic Discharge,,,,,,,,,,Other,ESD,nan,nan,nan,nan
Geographic Information System,,,,,,,,,,Other,GIS,nan,nan,nan,nan
